Team,Ranking,Pld,W,D,L,Pts,APts,GF,AGF,GA,AGA,GD,AGD,CS,ACS,YC,AYC,RC,ARC,historic_win_percent,round_16,second_round
Argentina,5,4,1,1,2,4,1,6,1.5,9,2.25,−3,−0.75,0,0,11,2.75,0,0,0.541,0.875,0.705882353
Australia,36,3,0,1,2,1,0.33,2,0.67,5,1.67,−3,−1.00,0,0,7,2.33,0,0,0.2,0.333333333,0.2
Belgium,3,7,6,0,1,18,2.57,16,2.29,6,0.86,10,1.43,3,0.43,11,1.57,0,0,0.412,0.833333333,0.538461538
Brazil,2,5,3,1,1,10,2,8,1.6,3,0.6,5,1,3,0.6,7,1.4,0,0,0.673,1,0.857142857
Colombia,16,4,2,1,1,7,1.75,6,1.5,3,0.75,3,0.75,2,0.5,9,2.25,1,0.25,0.409,0.5,0.5
Costa Rica,23,3,0,1,2,1,0.33,2,0.67,5,1.67,−3,−1.00,0,0,6,2,0,0,0.286,0.5,0.4
Croatia,20,7,4,2,1,14,2,14,2,9,1.29,5,0.71,2,0.29,15,2.14,0,0,0.444,0.25,0.4
Denmark,12,4,1,3,0,6,1.5,3,0.75,2,0.5,1,0.25,2,0.5,6,1.5,0,0,0.391,0.75,0.8
Egypt,45,3,0,0,3,0,0,2,0.67,6,2,−4,−1.33,0,0,5,1.67,0,0,0,0,0
England,12,7,3,1,3,10,1.43,12,1.71,8,1.14,4,0.57,1,0.14,8,1.14,0,0,0.438,0.857142857,0.8
France,7,7,6,1,0,19,2.71,14,2,6,0.86,8,1.14,4,0.57,12,1.71,0,0,0.529,0.666666667,0.533333333
Germany,1,3,1,0,2,3,1,2,0.67,4,1.33,−2,−0.67,0,0,2,0.67,1,0.33,0.607,0.875,0.894736842
Iceland,22,3,0,1,2,1,0.33,2,0.67,5,1.67,−3,−1.00,0,0,3,1,0,0,0,0,0
Iran,37,3,1,1,1,4,1.33,2,0.67,2,0.67,0,0,1,0.33,7,2.33,0,0,0.167,0,0
Japan,61,4,1,1,2,4,1,6,1.5,7,1.75,−1,−0.25,0,0,5,1.25,0,0,0.28,0.4,0.5
Mexico,15,4,2,0,2,6,1.5,3,0.75,6,1.5,−3,−0.75,1,0.25,9,2.25,0,0,0.283,0.875,0.5625
Morocco,41,3,0,1,2,1,0.33,2,0.67,4,1.33,−2,−0.67,0,0,8,2.67,0,0,0.211,0.333333333,0.2
Nigeria,48,3,1,0,2,3,1,3,1,4,1.33,−1,−0.33,1,0.33,4,1.33,0,0,0.286,0.6,0.5
Panama,55,3,0,0,3,0,0,2,0.67,11,3.67,−9,−3.00,0,0,11,3.67,0,0,0,0,0
Peru,11,3,1,0,2,3,1,2,0.67,2,0.67,0,0,1,0.33,5,1.67,0,0,0.278,0,0.4
Poland,8,3,1,0,2,3,1,2,0.67,5,1.67,−3,−1.00,1,0.33,3,1,0,0,0.447,0.333333333,0.5
Portugal,4,4,1,2,1,5,1.25,6,1.5,6,1.5,0,0,1,0.25,7,1.75,0,0,0.485,0.4,0.571428571
Russia,70,5,2,2,1,8,1.6,11,2.2,7,1.4,4,0.8,1,0.2,6,1.2,1,0.2,0.422,0.2,0.636363636
Saudi Arabia,67,3,1,0,2,3,1,2,0.67,7,2.33,−5,−1.67,0,0,1,0.33,0,0,0.211,0.25,0.2
Senegal,27,3,1,1,1,4,1.33,4,1.33,4,1.33,0,0,0,0,6,2,0,0,0.417,1,0.5
Serbia,34,3,1,0,2,3,1,2,0.67,4,1.33,−2,−0.67,1,0.33,9,3,0,0,0.367,0.5,0.583333333
South Korea,57,3,1,0,2,3,1,3,1,3,1,0,0,1,0.33,10,3.33,0,0,0.184,0.25,0.2
Spain,10,4,1,3,0,6,1.5,7,1.75,6,1.5,1,0.25,1,0.25,2,0.5,0,0,0.47,0.75,0.666666667
Sweden,24,5,3,0,2,9,1.8,6,1.2,4,0.8,2,0.4,3,0.6,8,1.6,0,0,0.373,0.75,0.75
Switzerland,6,4,1,2,1,5,1.25,5,1.25,5,1.25,0,0,0,0,9,2.25,1,0.25,0.35,0.75,0.636363636
Tunisia,21,3,1,0,2,3,1,5,1.67,8,2.67,−3,−1.00,0,0,4,1.33,0,0,0.167,0,0
Uruguay,14,5,4,0,1,12,2.4,7,1.4,3,0.6,4,0.8,3,0.6,3,0.6,0,0,0.424,0.8,0.769230769
Total,,64,51,13,51,179,1.4,169,1.32,169,1.32,0,0,33,0.26,219,1.71,4,0.03,,,
